 Togm_CGC Vogm_CGC Togm_icm Vogm_icm Togm_kl Vogm_kl Togm_lf1 Vogm_lf1 Togm_mcfusion_HC_BASE Vogm_mcfusion_HC_BASE Togm_mcfusion_HC_BASE_CGCF Vogm_mcfusion_HC_BASE_CGCF Togm_mcfusion_HC_CGC Vogm_mcfusion_HC_CGC Togm_mcfusion_HC_CGC_CGCF Vogm_mcfusion_HC_CGC_CGCF Togm_mcfusion_HC_MC Vogm_mcfusion_HC_MC Togm_mcfusion_HC_MC_CGCF Vogm_mcfusion_HC_MC_CGCF Togm_mcfusion_WS_BASE Vogm_mcfusion_WS_BASE Togm_mcfusion_WS_BASE_CGCF Vogm_mcfusion_WS_BASE_CGCF Togm_mcfusion_WS_CGC Vogm_mcfusion_WS_CGC Togm_mcfusion_WS_CGC_CGCF Vogm_mcfusion_WS_CGC_CGCF Togm_mcfusion_WS_MC Vogm_mcfusion_WS_MC Togm_mcfusion_WS_MC_CGCF Vogm_mcfusion_WS_MC_CGCF TMC_CC VMC_CC TMC_CCFDB VMC_CCFDB TMC_CCFDB_OWC VMC_CCFDB_OWC TMC_CCFDB_CCIFD VMC_CCFDB_CCIFD TMC_CCI VMC_CCI TMC_CCIFD VMC_CCIFD 
 0.0517 1.3673 2.0941 488.0876 0.1401 282.3167 0.7493 488.0876 0.1038 5811.4678 0.1278 546.4652 0.2736 0.0001 0.2772 0.0001 0.7224 0.0001 0.7195 0.0001 0.0284 5811.4678 0.0866 0.0001 0.3986 0.5841 0.4131 0.0001 2.1018 0.5841 2.1567 0.0001 3.0163 2.4304 0.5993 2.4304 0.7831 0.0001 0.8212 0.0001 0.5600 0.0001 0.5071 0.0001 
 0.0525 0.0001 2.1623 95.1210 0.1847 58.5320 0.7724 95.1210 0.1689 2545.8426 0.1807 97.8429 0.4038 0.0001 0.4003 0.0001 0.7110 0.0001 0.7085 0.0001 0.0428 2545.8426 0.1298 0.0001 0.3750 0.0001 0.4147 0.0001 0.9355 0.0001 0.9767 0.0001 101.0705 0.0001 7.7880 0.0001 7.8411 0.0001 7.7619 0.0001 0.4004 0.0001 0.5692 0.0001 
 0.0715 0.0001 2.7329 152.1158 0.2892 175.0046 0.9701 152.1158 0.1601 4064.8658 0.1779 109.9755 0.4867 89.0792 0.4875 43.9190 1.1469 89.0792 1.1585 43.9190 0.0412 4064.8658 0.1044 0.0001 0.3957 0.0001 0.4247 0.0001 1.3448 0.0001 1.3790 0.0001 8.6451 3.5071 1.5585 3.5071 1.7813 0.0001 1.6750 0.0001 0.6519 0.0001 0.7442 0.0001 
 0.0918 0.0001 2.5652 768.2709 0.1714 34.2026 0.8706 768.2709 0.1496 4595.8439 0.1930 411.7542 0.2431 0.0001 0.2471 0.0001 0.4671 0.0001 0.4558 0.0001 0.0398 4595.8439 0.1349 0.0001 NaN 0.0001 0.2543 0.0001 0.6515 0.0001 0.6782 0.0001 16.0662 0.0001 2.9828 0.0001 2.9961 0.0001 2.9748 0.0001 0.2760 0.0001 0.2924 0.0001 
 0.1258 34.0883 1.5263 440.9370 0.0721 166.8530 0.5275 440.9370 0.0929 5198.3658 0.1590 531.9463 0.2688 0.0001 0.2722 0.0001 0.5912 0.0001 0.5807 0.0001 0.0285 5198.3658 0.1876 33.7158 0.3026 0.0001 0.3184 0.0001 0.9460 0.0001 0.9785 0.0001 1.8408 2.4738 0.3792 2.4738 0.5257 0.0001 0.4083 0.0001 0.2453 0.0001 0.3560 0.0001 
 0.0794 6.7531 1.7241 346.7128 0.0579 137.1106 0.5725 346.7128 0.0984 4638.9916 0.1213 512.8259 0.4443 0.0001 0.4393 0.0001 1.7652 0.0001 1.7766 0.0001 0.0302 4638.9916 0.0929 11.7714 0.4034 5.8589 0.4308 3.7745 2.4199 5.8589 2.4783 3.7745 4.6392 8.9855 0.5789 8.9855 0.8188 6.5155 0.8255 0.0001 1.2012 0.0001 1.1411 0.0001 
 0.0809 0.0001 2.1532 176.0976 0.2255 166.3414 0.7319 176.0976 0.1364 4625.8048 0.1717 370.4889 0.3537 0.0001 0.3539 0.0001 0.6578 0.0001 0.6397 0.0001 0.0362 4625.8048 0.1179 0.0001 0.3065 0.4022 0.3257 0.0001 0.6720 0.4022 0.6906 0.0001 4.6031 0.0001 0.7341 0.0001 0.7626 0.0001 0.7582 0.0001 0.3599 0.0001 0.3004 0.0001 
 0.0639 0.0001 1.4767 671.7342 0.0788 99.8216 0.5338 671.7342 0.0869 5092.3216 0.1138 705.1469 0.4063 4.7409 0.4061 4.7409 0.9748 4.7409 0.9614 4.7409 0.0266 5092.3216 0.0807 0.4256 0.3390 0.0001 0.3512 0.0001 1.1382 0.0001 1.1623 0.0001 1.9116 4.9212 0.3390 4.9212 0.5011 0.0001 0.4332 0.0001 0.8554 0.0001 0.7207 0.0001 
