 Togm_CGC Vogm_CGC Togm_icm Vogm_icm Togm_kl Vogm_kl Togm_lf1 Vogm_lf1 Togm_mcfusion_HC_BASE Vogm_mcfusion_HC_BASE Togm_mcfusion_HC_BASE_CGCF Vogm_mcfusion_HC_BASE_CGCF Togm_mcfusion_HC_CGC Vogm_mcfusion_HC_CGC Togm_mcfusion_HC_CGC_CGCF Vogm_mcfusion_HC_CGC_CGCF Togm_mcfusion_HC_MC Vogm_mcfusion_HC_MC Togm_mcfusion_HC_MC_CGCF Vogm_mcfusion_HC_MC_CGCF Togm_mcfusion_WS_BASE Vogm_mcfusion_WS_BASE Togm_mcfusion_WS_BASE_CGCF Vogm_mcfusion_WS_BASE_CGCF Togm_mcfusion_WS_CGC Vogm_mcfusion_WS_CGC Togm_mcfusion_WS_CGC_CGCF Vogm_mcfusion_WS_CGC_CGCF Togm_mcfusion_WS_MC Vogm_mcfusion_WS_MC Togm_mcfusion_WS_MC_CGCF Vogm_mcfusion_WS_MC_CGCF TMC_CC VMC_CC TMC_CCFDB VMC_CCFDB TMC_CCFDB_OWC VMC_CCFDB_OWC TMC_CCFDB_CCIFD VMC_CCFDB_CCIFD TMC_CCI VMC_CCI TMC_CCIFD VMC_CCIFD 
 5.0260 92.2108 74.4347 3028.7778 14.4047 2645.5647 25.9966 3027.2887 0.9752 32999.8496 2.8339 3671.9290 3.9679 84.8742 3.9503 84.8742 5.1013 83.2175 5.0886 83.2175 0.2128 32999.8496 4.8968 125.0741 20.4288 76.3596 21.2256 75.9206 31.9776 75.8302 32.7368 75.3912 3620.1964 127.6872 354.0424 12.3823 391.6432 0.0001 296.3865 0.0001 38.4409 0.0001 41.9010 0.0001 
 4.4655 11.1495 84.7044 2096.6791 13.9940 1495.0790 30.4676 1728.0577 1.1528 25863.3822 2.3367 2496.3366 5.8244 0.0001 5.8694 0.0001 10.0238 0.0001 10.1094 0.0001 0.2373 25863.3822 4.2303 17.4563 20.3838 0.0312 21.1572 0.0001 32.4297 0.0001 33.4942 0.0001 3600.2864 1517.1724 993.0716 14.3233 1084.7557 0.0001 858.2105 0.0001 33.4576 0.0001 49.7752 0.0001 
 3.6155 32.4755 102.0255 1854.5507 12.8017 1686.0477 34.6166 1854.5507 1.3741 25721.8980 1.7176 2226.3011 5.8753 16.1130 5.8063 16.1130 10.2199 16.1130 10.2995 16.1130 0.2875 25721.8980 3.4211 19.1411 28.4664 89.5840 29.8443 0.0001 45.5659 90.2888 46.3898 0.0001 3600.2807 2882.2079 3600.1836 12.2415 3600.2387 12.2415 3600.2240 862.4814 24.7980 0.0001 59.5661 0.0001 
 3.5922 90.2239 96.3189 2721.8777 13.4424 1663.2246 32.9539 2721.8777 1.2713 30478.3717 2.6572 3062.9662 7.0828 3.9296 7.0668 0.0001 7.9394 3.9296 8.0011 0.0001 0.2530 30478.3717 3.9946 63.8387 12.3875 46.9395 13.0920 42.3671 13.9027 4.5724 14.5588 0.0001 2328.3707 0.0001 372.8903 0.0001 387.3100 0.0001 308.9136 0.0001 9.8065 0.0001 36.5856 0.0001 
 3.5802 38.1257 73.1535 1876.4754 9.6715 1810.3475 24.3895 1882.1673 1.0702 27056.9891 2.2946 2606.4168 7.0359 4.8320 7.0357 4.8320 10.8162 1.0881 10.7769 1.0881 0.2195 27056.9891 3.6154 23.5331 21.9081 0.0001 22.2893 0.0001 38.0749 0.0001 38.6670 0.0001 3439.2987 32.2484 492.7910 32.2484 490.8132 0.0001 378.2865 0.0001 20.0923 0.0001 48.1718 0.0001 
 3.4640 104.8098 82.5189 1940.1323 17.4307 1662.8555 27.9332 1953.3414 1.2020 29482.2425 2.3643 2766.9139 3.6583 0.9127 3.6086 0.9127 7.8515 0.0001 7.8954 0.0001 0.2368 29482.2425 4.2916 91.6065 17.5723 3.2660 17.9938 0.9127 36.1960 0.3538 36.6113 0.0001 3600.2712 92.9317 402.3355 0.4022 532.7975 0.0001 406.0562 0.0001 20.0952 0.0001 50.0736 0.0001 
 4.5122 38.1059 101.3434 871.0248 13.3994 1078.7085 35.5311 844.2384 1.6070 20211.5476 2.2762 1052.5176 4.6233 50.9945 4.6979 45.0031 5.3086 50.9945 5.3403 45.0031 0.3079 20211.5476 6.7520 45.1714 42.4466 9.0816 43.8451 8.0095 54.5636 0.2318 55.6545 0.2318 3600.1735 4388.1107 3600.0921 112.1373 3600.0518 112.1373 3600.0181 2947.2142 1487.1852 0.0001 478.1851 0.0001 
 7.9587 3.7929 60.4477 2460.6396 10.1418 1924.9647 20.7313 2460.6396 0.8789 26607.9752 2.5635 2876.3554 6.7068 0.0001 6.8343 0.0001 13.6966 0.0001 13.8474 0.0001 0.1897 26607.9752 8.0872 9.9989 20.2969 9.8550 21.8451 0.0001 42.1139 6.2198 44.0274 0.0001 3600.3159 87.3879 896.5227 29.5372 848.6471 0.0001 647.8370 0.0001 128.5521 0.0001 72.1017 0.0001 
