      time        CGC         HC     HC-CGC    ogm-ICM     ogm-KL   ogm-LF-1 DYNCC-HC-B DYNCC-HC-B-CGC DYNCC-HC-CGC DYNCC-HC-CGC-CGC DYNCC-HC-MC DYNCC-HC-MC-CGC DYNCC-WS-B DYNCC-WS-B-CGC DYNCC-WS-CGC DYNCC-WS-CGC-CGC DYNCC-WS-MC DYNCC-WS-MC-CGC     MCR-CC  MCR-CCFDB MCR-CCFDB-OWC MCI-CCFDB-CCIFD    MCI-CCI  MCI-CCIFD 
         1   695060.6379   434733.1844   664858.3612   745275.5716   691974.8879   745275.5716   500696.1780   668158.5241   664869.1698   664869.1698   497406.7066   664869.0527   685915.5496   745275.5716   665629.8081   665629.8081   665973.3212   665973.3212   681113.6663   681113.6663   681113.6663   681113.6663   681113.6663   681113.6663 
         2   695060.6379   434733.1844   664856.6552   745275.5716   691974.8879   745275.5716   500669.5872   500669.5872   497391.6961   497391.6961   497394.9416   497394.9416   685915.5496   745275.5716   664941.5544   664941.5544   665625.9229   665625.9229   681113.6663   681113.6663   681113.6663   681113.6663   681113.6663   681113.6663 
         4   666942.7228   434733.1844   664856.6552   745275.5716   691974.8879   745275.5716   487133.8757   484859.8282   497383.7802   497383.7802   497382.9512   497382.9512   685915.5496   664860.0645   664887.6509   664887.6509   664937.4916   664937.4916   681113.6663   681113.6663   681113.6663   681113.6663   651414.1623   651421.8033 
         8   664862.4589   434733.1844   664856.6552   745275.5716   691974.8879   745275.5716   487133.8757   484859.8282   497382.7565   497382.7565   497382.9512   497382.9512   685915.5496   664860.0645   664860.8013   664860.8013   664871.6074   664871.6074   681113.6663   681113.6663   681113.6663   681113.6663   651035.6183   650918.3818 
        16   664862.4589   434733.1844   664856.6552   745275.5716   654907.1741   745275.5716   479494.6546   477220.6072   497382.3644   497382.3644   497382.3644   497382.3644   685915.5496   664860.0645   664852.9836   664852.9836   664855.3803   664855.3803   681113.6663   681113.6663   681113.6663   650888.5848   650888.5848   650888.5848 
        32   664862.4589   434733.1844   664856.6552   745275.5716   654709.7027   745275.5716   479494.6546   477220.6072   427949.8559   427949.8559   427849.5237   427849.5237   685915.5496   664860.0645   664847.0370   664847.0370   664850.4965   664850.4965   681113.6663   650888.5848   650888.5848   650888.5848   650888.5848   650888.5848 
        64   664862.4589   434733.1844   664856.6552   745275.5716   654696.6203   745275.5716   479112.6152   476838.5678   414338.7944   414338.7944   414625.2926   414625.2926   685915.5496   664860.0645   664847.0370   664845.1026   664846.5666   664844.7105   650888.5848   650888.5848   650888.5848   650888.5848   650888.5848   650888.5848 
       128   664862.4589   434733.1844   664856.6552   745275.5716   654696.6203   666584.6159   479112.6152   450826.2336   413781.9675   413781.9675   413971.2603   413971.2603   685915.5496   664860.0645   664847.0370   664845.1026   664846.5666   664844.7105   650888.5848   650888.5848   650888.5848   650888.5848   599966.2246   606644.7662 
       256   664862.4589   434733.1844   664856.6552   745275.5716   654696.6203   666584.6159   479112.6152   450526.8583   413624.2463   413624.2463   413692.6320   413692.6320   685915.5496   664860.0645   664847.0370   664845.1026   664846.5666   664844.7105   650888.5848   650888.5848   650888.5848   650888.5848   599966.2246   606644.7662 
       512   664862.4589   434733.1844   664856.6552   666581.0855   654696.6203   666584.6159   479112.6152   450526.8583   413600.1130   413602.2280   413601.5156   413601.8414   685915.5496   664860.0645   664847.0370   664845.1026   419897.5233   419895.6672   650888.5848   650888.5848   650888.5848   650888.5848   599966.2246   606644.7662 
      1024   664862.4589   434733.1844   664856.6552   666581.0855   654696.6203   666584.6159   479112.6152   450526.8583   413568.6972   413568.6972   413592.5302   413578.0585   685915.5496   664860.0645   664847.0370   664845.1026   414085.4738   414083.6178   650888.5848   650888.5848   650888.5848   650888.5848   534464.7863   606644.7662 
      2048   442107.6905   434733.1844   664856.6552   666581.0855   654696.6203   666584.6159   479112.6152   450526.8583   413553.8450   413553.8450   413552.7426   413552.7426   685915.5496   664860.0645   664847.0370   664845.1026   413719.8434   413717.9874   650888.5848   650888.5848   650888.5848   650888.5848   472234.8684   505587.2404 
      4096   441683.2855   434733.1844   413977.0915   618528.2100   445345.8805   553739.7721   479112.6152   450526.8583   413549.4605   413549.4425   413552.7426   413546.9556   685915.5496   434904.6130   428682.1444   428575.3377   413653.8768   413643.3054   650888.5848   650888.5848   650888.5848   650888.5848   414563.9885   413722.3793 
