time CGC-planar         HC     HC-CGC    ogm-ICM     ogm-KL   ogm-LF-1 DYNCC-HC-B DYNCC-HC-B-CGC DYNCC-HC-CGC DYNCC-HC-CGC-CGC DYNCC-HC-MC DYNCC-HC-MC-CGC DYNCC-WS-B DYNCC-WS-B-CGC DYNCC-WS-CGC DYNCC-WS-CGC-CGC DYNCC-WS-MC DYNCC-WS-MC-CGC     MCR-CC  MCR-CCFDB MCR-CCFDB-OWC MCI-CCFDB-CCIFD    MCI-CCI  MCI-CCIFD ogm-mcfusion-HC-BASE-CGCpF ogm-mcfusion-HC-CGCp ogm-mcfusion-HC-CGCp-CGCpF ogm-mcfusion-HC-MC-CGCpF ogm-mcfusion-WS-BASE-CGCpF ogm-mcfusion-WS-CGCp ogm-mcfusion-WS-CGCp-CGCpF ogm-mcfusion-WS-MC-CGCpF 
     0.125     4452.0683     4849.8757     4525.1614     7116.5247     5781.9544     6680.3697     5268.6407     5234.7520     4601.6258     4601.7538     4937.3745     4937.6501     6320.2944     5247.4982     4554.4087     4555.2432     5527.9322     5535.9924     5562.0198     5373.0908     5376.7019     5378.8527     5005.7304     5048.1595     5229.6022     4606.7245     4624.4933     4973.9492     5272.1619     4656.5087     4661.0001     5559.0441 
      0.25     4447.7109     4849.8757     4501.7449     6923.3406     5492.2098     6151.2532     5254.6616     5100.8571     4491.3811     4492.1891     4871.3003     4856.0143     6316.6107     4768.4026     4495.2859     4494.4897     5329.7779     5341.5053     5253.5753     5105.8151     5106.3714     5122.1088     4776.8559     4802.5277     5079.5815     4497.1284     4494.7347     4880.5269     4738.5578     4544.7942     4545.2422     5373.5108 
       0.5     4446.1155     4849.8757     4485.6009     6560.4727     5222.3465     5533.2053     5252.9118     4980.1525     4466.8717     4467.0540     4731.3734     4720.3095     6316.1555     4523.3241     4464.2179     4463.3202     5167.8195     5175.9664     4968.4289     4767.5925     4773.1285     4800.1512     4612.0394     4615.5732     4955.8483     4457.2473     4456.3072     4737.4754     4478.6239     4486.8000     4486.7164     5177.6621 
         1     4445.2934     4849.8757     4472.8856     6035.0484     4897.5310     5045.8741     5252.7334     4957.1343     4447.6530     4447.6678     4626.7890     4626.7631     6316.1555     4489.2481     4451.6077     4450.6929     4905.6306     4890.5760     4648.0850     4549.4564     4549.1473     4551.8109     4515.9566     4497.9506     4939.6733     4448.7150     4448.4665     4627.8617     4452.9126     4459.9064     4459.6409     4887.4026 
         2     4445.0579     4849.8757     4466.8676     5493.9629     4654.1093     4767.4319     5252.7334     4957.1343     4445.4787     4445.4727     4483.2096     4481.5034     6316.1555     4472.2386     4447.7715     4446.5953     4633.0840     4639.2982     4503.5391     4471.9217     4471.8697     4469.4406     4476.8838     4460.6387     4939.6733     4445.6228     4445.4632     4478.7502     4451.3084     4450.7352     4450.2685     4607.6501 
         4     4445.0579     4849.8757     4462.8113     5072.0561     4609.5790     4707.5392     5252.7334     4957.1343     4444.8334     4444.8212     4451.5148     4452.6267     6316.1555     4462.7227     4446.6830     4445.2839     4514.1247     4507.5395     4457.2771     4450.3680     4450.3159     4445.9966     4458.1485     4449.3571     4939.6733     4444.7022     4444.4663     4454.1035     4451.2605     4447.1563     4446.3597     4500.0100 
         8     4445.0579     4849.8757     4461.1995     4918.3283     4608.5241     4705.0093     5252.7334     4957.1343     4444.6096     4444.5979     4446.3013     4446.3243     6316.1555     4461.1516     4446.2954     4444.7512     4455.7315     4456.2001     4447.6767     4446.8866     4446.8345     4442.7274     4450.0564     4443.7504     4939.6733     4444.3625     4444.1306     4447.0727     4451.2537     4445.7608     4444.4359     4455.8304 
        16     4445.0579     4849.8757     4460.8557     4705.0814     4608.4936     4705.0093     5252.7334     4957.1343     4444.5606     4444.5478     4444.2109     4444.2341     6316.1555     4460.7303     4446.1699     4444.5976     4446.8518     4446.4542     4446.8364     4446.8866     4446.8345     4442.6448     4443.4798     4442.7735     4939.6733     4444.3125     4444.0808     4444.3502     4451.2537     4445.5061     4443.7829     4446.2197 
        32     4445.0579     4849.8757     4460.7267     4705.0746     4608.4936     4705.0093     5252.7334     4957.1343     4444.5606     4444.5478     4443.7486     4443.7486     6316.1555     4460.5695     4446.1285     4444.5434     4444.9595     4444.2399     4446.8364     4446.8866     4446.8345     4442.6387     4442.6448     4442.6448     4939.6733     4444.3094     4444.0802     4443.7036     4451.2537     4445.4270     4443.6490     4443.5696 
        64     4445.0579     4849.8757     4460.7114     4705.0746     4608.4936     4705.0093     5252.7334     4957.1343     4444.5606     4444.5478     4443.6194     4443.6194     6316.1555     4460.5579     4446.1285     4444.5434     4444.6049     4443.8013     4446.8364     4446.8866     4446.8345     4442.6387     4442.6387     4442.6387     4939.6733     4444.3094     4444.0802     4443.5378     4451.2537     4445.4270     4443.6490     4443.1067 
