      time MC-CCFDB-n* MC-CCFDB-o* MC-CCIFD-n* MC-CCIFD-o* 
     0.125    -4892.3590    -4892.3590    -4892.3590    -4892.3590 
      0.25    -4892.3590    -4892.3590    -4892.3590    -4892.3590 
       0.5    -4892.3590    -4892.3590    -4892.3590    -4892.3590 
         1    -4892.3590    -4892.3590    -4892.3590    -4892.3590 
         2    -4892.3590    -4892.3590    -4892.3590    -4892.3590 
         4    -4892.3590    -4892.3590    -4892.3590    -4892.3590 
         8    -4892.3590    -4892.3590    -4892.3590    -4892.3590 
        16    -4892.3590    -4892.3590    -4892.3590    -4892.3590 
        32    -4892.3590    -4892.3590   -11731.1772    -4892.3590 
        64    -4892.3590    -4892.3590   -22101.3940    -4892.3590 
       128    -4892.3590    -4892.3590   -42410.1308   -14870.0157 
       256   -10553.3421    -4892.3590   -77261.2525   -30714.8107 
       512   -19523.3929    -4892.3590   -78390.5624   -69413.6965 
      1024   -39930.8702    -4892.3590   -78412.2700   -78298.7517 
      2048   -65081.4313    -4892.3590   -78412.2700   -78339.6693 
      4096   -65081.4313    -4892.3590   -78412.2700   -78379.9853 
