      time        CGC         HC     HC-CGC     ogm-KL DYNCC-HC-CGC DYNCC-HC-MC DYNCC-WS-CGC DYNCC-WS-MC  MCR-CCFDB  MCI-CCIFD ogm-mcfusion2-HC-CGC* ogm-mcfusion2-HC-MC* ogm-mcfusion2-WS-CGC* ogm-mcfusion2-WS-MC* 
     0.125  1281549.3741  1281549.3741  1281549.3741  1258675.5267  1265334.2394  1265334.2394  1265334.2394  1265334.2394  1253637.1228  1253637.1228  1265334.2394  1265334.2394  1265334.2394  1265334.2394 
      0.25  1281549.3741  1281549.3741  1281549.3741  1258675.5267  1265334.2394  1265334.2394  1265334.2394  1265334.2394  1253637.1228  1253637.1228  1265334.2394  1265334.2394  1265334.2394  1265334.2394 
       0.5  1281549.3741  1281549.3741  1281549.3741  1258675.5267  1265334.2394  1265334.2394  1265334.2394  1265334.2394  1253637.1228  1253637.1228  1265334.2394  1265334.2394  1265334.2394  1265334.2394 
         1  1281549.3741  1281549.3741  1281549.3741  1258675.5267  1265334.2394  1265334.2394  1265334.2394  1265334.2394  1253637.1228  1253637.1228  1265334.2394  1265334.2394  1265334.2394  1265334.2394 
         2  1281549.3741   820184.9805   820184.9805  1258675.5267  1265334.2394  1265334.2394  1265334.2394  1265334.2394  1253637.1228  1253637.1228   887876.2295  1265334.2394  1265334.2394  1265334.2394 
         4  1281549.3741   820184.9805   817083.8570  1258675.5267  1265334.2394  1265334.2394  1265334.2394  1265334.2394  1253637.1228  1253637.1228   887876.2295   874661.0071  1265334.2394  1265334.2394 
         8  1281549.3741   820184.9805   814766.9876  1258675.5267  1265334.2394   829064.6783  1265334.2394  1265334.2394  1253637.1228  1253637.1228   887876.2295   874661.0071  1265334.2394  1265334.2394 
        16  1281549.3741   820184.9805   800896.8873  1258675.5267   861280.1574   829064.6783  1265334.2394  1265334.2394  1253637.1228  1253637.1228   838169.4153   809449.6749  1265334.2394  1265334.2394 
        32  1281549.3741   820184.9805   800691.3068  1258675.5267   861280.1574   782402.9174  1265334.2394  1265334.2394  1253637.1228  1253637.1228   838169.4153   782715.7109   918690.7441   894226.8672 
        64  1281549.3741   820184.9805   800556.7413  1258675.5267   818529.1321   779585.3269   884727.4905  1265334.2394  1253637.1228  1253637.1228   807588.4645   779745.7877   918690.7441   894226.8672 
       128  1281549.3741   820184.9805   800445.6101  1258675.5267   818529.1321   779181.3293   884727.4905   851142.3693  1253637.1228  1165149.4856   805393.1250   779239.2527   850300.0443   788372.7946 
       256  1281549.3741   820184.9805   798028.1561  1258675.5267   809569.0676   779056.5147   835609.5841   782120.8622  1253637.1228  1165149.4856   802143.3895   779055.7032   830370.5653   781136.1585 
       512  1281549.3741   820184.9805   795474.2059  1258675.5267   809569.0676   778984.1473   823380.2511   779851.0210  1253637.1228  1165149.4856   802143.3895   778982.4158   814372.6610   779693.3184 
      1024  1281549.3741   820184.9805   792773.7784  1258675.5267   809569.0676   778963.5816   817106.7249   779301.8889  1253637.1228  1165149.4856   799767.1416   778965.4382   813480.7453   779261.8262 
      2048   882747.0235   820184.9805   787836.1938  1258675.5267   804313.8136   778958.9718   815461.4338   779026.5071  1253637.1228   963034.4340   797345.9824   778945.9076   813480.7453   779163.9104 
      4096   882747.0235   820184.9805   787836.1938  1258675.5267   804313.8136   778958.9718   815461.4338   779026.5071  1253637.1228   963034.4340   797345.9824   778945.9076   813480.7453   779163.9104 
