      time        CGC         HC     HC-CGC    ogm-ICM     ogm-KL   ogm-LF-1 DYNCC-HC-B DYNCC-HC-B-CGC DYNCC-HC-CGC DYNCC-HC-CGC-CGC DYNCC-HC-MC DYNCC-HC-MC-CGC DYNCC-WS-B DYNCC-WS-B-CGC DYNCC-WS-CGC DYNCC-WS-CGC-CGC DYNCC-WS-MC DYNCC-WS-MC-CGC     MCR-CC  MCR-CCFDB MCR-CCFDB-OWC MCI-CCFDB-CCIFD    MCI-CCI  MCI-CCIFD ogm-mcfusiondc-HC-MC-CGCF* ogm-mcfusiondc-WS-MC-CGCF* 
     0.125  1281549.3741  1281549.3741  1281549.3741  1281549.3741  1258675.5267  1281549.3741  1281549.3741  1281549.3741  1281549.3741  1281549.3741  1281549.3741  1281549.3741  1281549.3741  1281549.3741  1281549.3741  1281549.3741  1281549.3741  1281549.3741  1253637.1228  1253637.1228  1253637.1228  1253637.1228  1253637.1228  1253637.1228  1281549.3741  1281549.3741 
      0.25  1281549.3741  1281549.3741  1281549.3741  1281549.3741  1258675.5267  1281549.3741  1281549.3741  1281549.3741  1281549.3741  1281549.3741  1281549.3741  1281549.3741  1281549.3741  1281549.3741  1281549.3741  1281549.3741  1281549.3741  1281549.3741  1253637.1228  1253637.1228  1253637.1228  1253637.1228  1253637.1228  1253637.1228  1281549.3741  1281549.3741 
       0.5  1281549.3741  1281549.3741  1281549.3741  1281549.3741  1258675.5267  1281549.3741  1281549.3741  1281549.3741  1281549.3741  1281549.3741  1281549.3741  1281549.3741  1281549.3741  1281549.3741  1281549.3741  1281549.3741  1281549.3741  1281549.3741  1253637.1228  1253637.1228  1253637.1228  1253637.1228  1253637.1228  1253637.1228  1281549.3741  1281549.3741 
         1  1281549.3741  1281549.3741  1281549.3741  1281549.3741  1258675.5267  1281549.3741  1281549.3741  1281549.3741  1281549.3741  1281549.3741  1281549.3741  1281549.3741  1281549.3741  1281549.3741  1281549.3741  1281549.3741  1281549.3741  1281549.3741  1253637.1228  1253637.1228  1253637.1228  1253637.1228  1253637.1228  1253637.1228  1281549.3741  1281549.3741 
         2  1281549.3741   820184.9805   820184.9805  1281549.3741  1258675.5267  1281549.3741   972075.1504  1281549.3741  1281549.3741  1281549.3741  1281549.3741  1281549.3741  1281549.3741  1281549.3741  1281549.3741  1281549.3741  1281549.3741  1281549.3741  1253637.1228  1253637.1228  1253637.1228  1253637.1228  1253637.1228  1253637.1228  1281549.3741  1281549.3741 
         4  1281549.3741   820184.9805   817083.8570  1281549.3741  1258675.5267  1281549.3741   955104.3404  1281549.3741  1281549.3741  1281549.3741  1281549.3741  1281549.3741  1281549.3741  1281549.3741  1281549.3741  1281549.3741  1281549.3741  1281549.3741  1253637.1228  1253637.1228  1253637.1228  1253637.1228  1253637.1228  1253637.1228  1281549.3741  1281549.3741 
         8  1281549.3741   820184.9805   804565.5849  1281549.3741  1258675.5267  1281549.3741   955104.3404  1281549.3741   853813.1329   853813.1329   829684.8597   829684.8597  1281549.3741  1281549.3741  1281549.3741  1281549.3741  1281549.3741  1281549.3741  1253637.1228  1253637.1228  1253637.1228  1253637.1228  1253637.1228  1253637.1228  1281549.3741  1281549.3741 
        16  1281549.3741   820184.9805   800845.4270  1281549.3741  1258675.5267  1281549.3741   936498.0078  1281549.3741   853813.1329   853813.1329   829684.8597   829684.8597  1281549.3741  1281549.3741  1281549.3741  1281549.3741  1281549.3741  1281549.3741  1253637.1228  1253637.1228  1253637.1228  1253637.1228  1253637.1228  1253637.1228  1281549.3741  1281549.3741 
        32  1281549.3741   820184.9805   800679.7972  1281549.3741  1258675.5267  1281549.3741   933361.2594  1281549.3741   853813.1329   853813.1329   782405.3400   782405.3400  1281549.3741  1281549.3741  1281549.3741  1281549.3741  1281549.3741  1281549.3741  1253637.1228  1253637.1228  1253637.1228  1253637.1228  1253637.1228  1253637.1228  1281549.3741  1281549.3741 
        64  1281549.3741   820184.9805   800489.3548  1281549.3741  1258675.5267  1281549.3741   926423.6238  1281549.3741   853813.1329   853813.1329   779581.3952   779581.3952  1281549.3741  1281549.3741   887956.8644   887956.8644   855650.9733   855650.9733  1253637.1228  1253637.1228  1253637.1228  1253637.1228  1253637.1228  1253637.1228   829684.8597  1281549.3741 
       128  1281549.3741   820184.9805   799079.9703  1281549.3741  1258675.5267  1281549.3741   926423.6238  1281549.3741   826715.5680   826715.5680   779181.2336   779181.2336  1281549.3741  1281549.3741   887956.8644   887956.8644   798055.7866   855650.9733  1253637.1228  1253637.1228  1253637.1228  1253637.1228  1151792.4024  1165149.4856   829684.8597  1281549.3741 
       256  1281549.3741   820184.9805   796716.6949  1281549.3741  1258675.5267  1281549.3741   926423.6238  1281549.3741   809666.1374   809666.1374   779065.0173   779065.0173  1281549.3741  1281549.3741   835724.6725   835724.6725   782643.1971   782643.1971  1253637.1228  1253637.1228  1253637.1228  1253637.1228  1151792.4024  1165149.4856   829684.8597  1281549.3741 
       512  1281549.3741   820184.9805   794469.2641  1281549.3741  1258675.5267  1281549.3741   926423.6238  1281549.3741   808600.4532   808600.4532   778984.1473   778985.4975  1281549.3741  1281549.3741   822261.6991   822261.6991   780058.0778   780058.0778  1253637.1228  1253637.1228  1253637.1228  1253637.1228  1151792.4024  1165149.4856   782405.3400  1281549.3741 
