      time        CGC         HC     HC-CGC DYNCC-HC-B DYNCC-HC-B-CGC DYNCC-HC-CGC DYNCC-HC-CGC-CGC DYNCC-HC-MC DYNCC-HC-MC-CGC DYNCC-WS-B DYNCC-WS-B-CGC DYNCC-WS-CGC DYNCC-WS-CGC-CGC DYNCC-WS-MC DYNCC-WS-MC-CGC     MCR-CC  MCR-CCFDB MCR-CCFDB-OWC MCI-CCFDB-CCIFD    MCI-CCI  MCI-CCIFD ogm-mcfusiondc-HC-MC-CGCF* ogm-mcfusiondc-WS-MC-CGCF* 
     0.125     8304.0687     8304.0687           Inf     8304.0687     8304.0687     8304.0687     8304.0687     8304.0687     8304.0687     8304.0687     8304.0687     8304.0687     8304.0687           Inf           Inf     4132.2202     7793.1544     7793.1544     7793.1544     7793.1544     7793.1544     8304.0687           Inf 
      0.25     8304.0687     8304.0687           Inf     8304.0687     8304.0687     8304.0687     8304.0687     8304.0687     8304.0687     8304.0687     8304.0687     8304.0687     8304.0687           Inf           Inf     4132.2202     4132.2202     4132.2202     4132.2202     4132.2202     4132.2202     8304.0687           Inf 
       0.5     8304.0687     8304.0687           Inf     8304.0687     8304.0687     8304.0687     8304.0687     8304.0687     8304.0687     8304.0687     8304.0687     8304.0687     8304.0687           Inf           Inf     4132.2202     4132.2202     4132.2202     4132.2202     4132.2202     4132.2202     8304.0687           Inf 
         1     8304.0687     8304.0687           Inf     8304.0687     8304.0687     8304.0687     8304.0687     8304.0687     8304.0687     8304.0687     8304.0687     8304.0687     8304.0687           Inf           Inf     4132.2202     4132.2202     4132.2202     4132.2202     4132.2202     4132.2202     8304.0687           Inf 
         2     8304.0687     8304.0687           Inf     8304.0687     8304.0687     8304.0687     8304.0687     8304.0687     8304.0687     8304.0687     8304.0687     8304.0687     8304.0687           Inf           Inf     4132.2202     4132.2202     4132.2202     4132.2202     4132.2202     4132.2202     8304.0687           Inf 
         4     8304.0687     8304.0687           Inf     8304.0687     8304.0687     8304.0687     8304.0687     8304.0687     8304.0687     8304.0687     8304.0687     8304.0687     8304.0687           Inf           Inf     4132.2202     4132.2202     4132.2202     4132.2202     4132.2202     4132.2202     8304.0687           Inf 
         8     8304.0687     7375.4175           Inf     8304.0687     8304.0687     8116.9728     8116.9728     8116.9728     8116.9728     8304.0687     8304.0687     8304.0687     8304.0687           Inf           Inf     4132.2202     4132.2202     4132.2202     4132.2202     4132.2202     4132.2202     8116.9728           Inf 
        16     8304.0687     7375.4175           Inf     8304.0687     8304.0687     6940.7786     6940.7786     6940.7786     6834.8867     8304.0687     8304.0687     8304.0687     8304.0687           Inf           Inf     4132.2202     4132.2202     4132.2202     4132.2202     4132.2202     4132.2202     6940.7786           Inf 
        32     8304.0687     7375.4175           Inf     8304.0687     8304.0687     5564.0759     6047.6179     5992.4554     5932.9067     8304.0687     8304.0687     8304.0687     8304.0687           Inf           Inf     4132.2202     4132.2202     4132.2202     4132.2202     4132.2202     4132.2202     5992.4554           Inf 
        64     8304.0687     7375.4175           Inf     8304.0687     8304.0687     4532.2480     4709.9624     4654.0796     4625.1712     8304.0687     8304.0687     8304.0687     8304.0687           Inf           Inf     4132.2202     4132.2202     4132.2202     4132.2202     4132.2202     4132.2202     4676.7528           Inf 
       128     8304.0687     7375.4175           Inf     8304.0687     8304.0687     3837.1132     3970.2717     3862.1925     3904.0903     8304.0687     7990.3771     8304.0687     8304.0687           Inf           Inf     4132.2202     4132.2202     4132.2202     4132.2202     4132.2202     4132.2202     3881.2964           Inf 
       256     8304.0687     7375.4175           Inf     8304.0687     8304.0687     3471.2719     3545.8494     3471.9269     3482.5366     8304.0687     7990.3771     8304.0687     8304.0687           Inf           Inf     4132.2202     4132.2202     4132.2202     4132.2202     4132.2202     4132.2202     3508.9186           Inf 
       512     8304.0687     7375.4175           Inf     8304.0687     8304.0687     3223.2561     3261.7835     3201.1674     3216.7929     8304.0687     7990.3771     8304.0687     8304.0687           Inf           Inf     4132.2202     4132.2202     4132.2202     4132.2202     4132.2202     4132.2202     3234.4790           Inf 
      1024     8304.0687     7375.4175           Inf     8304.0687     8304.0687     3066.6318     3096.0324     3040.3601     3050.4747     8304.0687     7990.3771     7309.6336     7309.6336           Inf           Inf     4132.2202     4132.2202     4132.2202     4132.2202     4132.2202     4132.2202     3068.4675           Inf 
      2048     8304.0687     7375.4175           Inf     8304.0687     7990.3771     2971.3104     2992.3430     2940.0039     2943.5066     8304.0687     7990.3771     6368.6253     6669.3006           Inf           Inf     4132.2202     4132.2202     4132.2202     4132.2202     4132.2202     4132.2202     2953.9575           Inf 
      4096     2584.5606     7375.4175           Inf     8304.0687     2870.9003     2971.3104     2992.3430     2940.0039     2943.5066     8304.0687     2870.9003     6168.7240     6368.1253           Inf           Inf     4132.2202     4132.2202     4132.2202     4132.2202     4132.2202     4132.2202     2704.8623           Inf 
