      time CGC-planar         HC     HC-CGC    ogm-ICM     ogm-KL   ogm-LF-1 DYNCC-HC-B DYNCC-HC-MC DYNCC-WS-B DYNCC-WS-MC     MCR-CC  MCR-CCFDB MCR-CCFDB-OWC MCI-CCFDB-CCIFD    MCI-CCI  MCI-CCIFD ogm-mcfusion-HC-BASE-CGCpF* ogm-mcfusion-HC-CGCp* ogm-mcfusion-HC-CGCp-CGCpF* ogm-mcfusion-HC-MC-CGCpF* ogm-mcfusion-WS-BASE-CGCpF* ogm-mcfusion-WS-CGCp* ogm-mcfusion-WS-CGCp-CGCpF* ogm-mcfusion-WS-MC-CGCpF* 
     0.125     4452.1523     4849.8757     4525.4280     7118.4424     5781.9544     6683.9675     5348.5510     4620.4405     6202.6388     5241.0143     5562.5695     5382.3245     5381.9635     5383.6292     5002.3116     5034.0221     5321.9780     4467.4345     4467.0786     4619.0218     5921.2779     4475.9656     4475.5497     5248.5527 
      0.25     4447.7472     4849.8757     4501.8919     6926.0613     5528.5612     6157.4411     5324.4545     4518.8549     6195.5031     4888.6993     5262.7377     5109.5346     5123.6111     5109.7087     4773.0980     4794.6321     5231.1443     4459.6037     4459.7454     4518.6055     5193.2497     4462.8112     4462.5936     4904.3598 
       0.5     4446.1824     4849.8757     4485.6496     6565.5667     5241.8581     5537.2781     5314.5512     4476.6380     6191.8893     4658.0886     4980.4083     4781.2364     4775.6886     4776.6258     4609.1985     4604.3051     4922.8253     4455.3827     4455.2147     4476.1507     4653.0148     4457.9003     4457.5642     4657.5123 
         1     4445.3068     4849.8757     4473.2387     6042.0454     4951.9309     5049.0157     5310.7682     4453.0575     6191.8893     4520.6471     4660.6187     4552.0175     4552.5121     4549.9117     4514.2074     4497.9324     4557.6999     4452.5166     4451.7299     4453.2733     4482.6806     4454.8011     4452.9342     4521.3487 
         2     4445.0579     4849.8757     4467.0110     5497.6458     4654.3699     4770.3315     5310.4843     4446.2424     6191.8893     4462.8012     4507.8251     4474.4772     4471.8697     4469.2005     4473.4358     4460.1384     4456.1991     4451.3921     4448.1184     4446.2564     4472.5043     4453.6309     4448.2136     4463.4823 
         4     4445.0579     4849.8757     4462.9004     5075.1522     4609.5790     4707.9209     5310.4843     4444.3030     6191.8893     4447.7995     4457.2535     4452.3723     4450.3159     4446.1954     4457.5539     4449.1407     4445.3542     4451.0119     4445.7600     4444.2576     4472.2805     4453.4011     4445.1246     4447.7390 
         8     4445.0579     4849.8757     4461.1995     4919.2652     4608.6332     4705.0093     5310.4843     4443.7252     6191.8893     4444.3379     4447.6767     4446.8866     4446.8345     4442.7274     4450.0564     4443.7504     4445.3158     4450.9550     4444.7544     4443.5592     4472.2737     4453.4011     4444.6259     4444.2667 
        16     4445.0579     4849.8757     4460.8517     4705.1501     4608.4936     4705.0093     5310.4843     4443.5432     6191.8893     4443.5468     4446.8364     4446.8866     4446.8345     4442.6448     4443.4798     4442.7735     4445.3158     4450.9550     4444.7544     4443.1708     4472.2737     4453.4011     4444.6259     4443.2913 
        32     4445.0579     4849.8757     4460.7267     4705.0746     4608.4936     4705.0093     5310.4843     4443.4264     6191.8893     4443.3056     4446.8364     4446.8866     4446.8345     4442.6387     4442.6448     4442.6448     4445.3158     4450.9550     4444.7544     4443.0469     4472.2737     4453.4011     4444.6259     4442.9100 
        64     4445.0579     4849.8757     4460.7114     4705.0746     4608.4936     4705.0093     5310.4843     4443.4153     6191.8893     4443.2483     4446.8364     4446.8866     4446.8345     4442.6387     4442.6387     4442.6387     4445.3158     4450.9550     4444.7544     4443.0357     4472.2737     4453.4011     4444.6259     4442.8517 
       128     4445.0579     4849.8757     4460.7114     4705.0746     4608.4936     4705.0093     5310.4843     4443.4153     6191.8893     4443.2483     4446.8364     4446.8866     4446.8345     4442.6387     4442.6387     4442.6387     4445.3158     4450.9550     4444.7544     4443.0357     4472.2737     4453.4011     4444.6259     4442.8517 
       256     4445.0579     4849.8757     4460.7114     4705.0746     4608.4936     4705.0093     5310.4843     4443.4153     6191.8893     4443.2483     4446.8364     4446.8866     4446.8345     4442.6387     4442.6387     4442.6387     4445.3158     4450.9550     4444.7544     4443.0357     4472.2737     4453.4011     4444.6259     4442.8517 
       512     4445.0579     4849.8757     4460.7114     4705.0746     4608.4936     4705.0093     5310.4843     4443.4153     6191.8893     4443.2483     4446.8364     4446.8866     4446.8345     4442.6387     4442.6387     4442.6387     4445.3158     4450.9550     4444.7544     4443.0357     4472.2737     4453.4011     4444.6259     4442.8517 
      1024     4445.0579     4849.8757     4460.7114     4705.0746     4608.4936     4705.0093     5310.4843     4443.4153     6191.8893     4443.2483     4446.8364     4446.8866     4446.8345     4442.6387     4442.6387     4442.6387     4445.3158     4450.9550     4444.7544     4443.0357     4472.2737     4453.4011     4444.6259     4442.8517 
      2048     4445.0579     4849.8757     4460.7114     4705.0746     4608.4936     4705.0093     5310.4843     4443.4153     6191.8893     4443.2483     4446.8364     4446.8866     4446.8345     4442.6387     4442.6387     4442.6387     4445.3158     4450.9550     4444.7544     4443.0357     4472.2737     4453.4011     4444.6259     4442.8517 
      4096     4445.0579     4849.8757     4460.7114     4705.0746     4608.4936     4705.0093     5310.4843     4443.4153     6191.8893     4443.2483     4446.8364     4446.8866     4446.8345     4442.6387     4442.6387     4442.6387     4445.3158     4450.9550     4444.7544     4443.0357     4472.2737     4453.4011     4444.6259     4442.8517 
